quaternion(q0),quaternion(q1),quaternion(q2),quaternion(q3),velocity(x),velocity(y),velocity(z),position(x),position(y),position(z)
0.9549089847055892,0.26906275947714775,-0.12081099040788734,0.0340406666760344,-0.0088637030441839,0.0029064234468081348,-0.00044495158582325114,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9549087260507384,0.2690074489397268,-0.12094750872283364,0.03400025677603234,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9549358979932654,0.2689414608154864,-0.12090043384358969,0.03392648632941299,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9549720570165129,0.2688789542931686,-0.12076902107266209,0.0338721390675746,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.955010056184334,0.26881259134894475,-0.1206307628072869,0.033820147598624076,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.955050688639254,0.26875443915421665,-0.12047271046471315,0.03369806519482283,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9550702980487717,0.26875742667883873,-0.1203273495482149,0.03363778144736253,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.955104132850193,0.2687215011222534,-0.12017052370928924,0.033524550385033915,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9551444607082802,0.2686522143061172,-0.12002559373331229,0.033450019068372916,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9551626929686715,0.26864635970887385,-0.11992607278655704,0.033333173296268385,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9551833335471829,0.2686142536301409,-0.1198617132815304,0.033231788240021536,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9551961955636116,0.2686022960189124,-0.1198051840311613,0.033162515487081656,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9551995381596295,0.26862416075068524,-0.11974750622715674,0.03309739133221502,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9552083059270167,0.2686445637857559,-0.11964636686043292,0.03304447810903551,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9552171234896036,0.2686647413897009,-0.11954521648012069,0.032991588973151485,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9552360805981165,0.2686460710896919,-0.11945195268317679,0.032932503879861824,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9552662480909005,0.268614921936416,-0.11930291147345584,0.0328517014077514,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9552846489136674,0.2686378352910681,-0.11913804699968673,0.032727339597355486,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9553029943322455,0.2686607925303002,-0.11897316714712475,0.03260296115107857,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9553272995749151,0.2686624459933833,-0.11880905310922536,0.03247537065287996,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9553668006520283,0.26860991905077963,-0.11864713296715268,0.032339533671898846,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9554049116545785,0.2685580403092085,-0.1184900747004979,0.03222011745873791,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.955442447047189,0.268491821655454,-0.11835147484245746,0.03216831495789881,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9554772124299475,0.26843122436952704,-0.118222518402575,0.032115579601283285,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9554788464616499,0.2684515810885506,-0.11817991643865473,0.03205354778998438,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9554606192852432,0.26846419629885077,-0.11830559089041753,0.032027604729997654,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9554622236367336,0.26847136431065893,-0.1182712083080914,0.032046638414441934,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9554429909534857,0.268487533366862,-0.1183969602416391,0.03202023219739853,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9554218396235596,0.2685077090625218,-0.11852958687097896,0.03199149231474387,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9554018423281496,0.268541471314974,-0.11864193892912236,0.03188868431128694,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9553807358137172,0.2685645639643391,-0.11877092174646295,0.03184639329940442,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9553777306124164,0.2685907289778551,-0.11875157383777836,0.03178798307638284,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9553787767240723,0.26862008383624414,-0.11869439520375277,0.03172198121555028,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9553796589521593,0.26864997284681796,-0.11863727204752246,0.03165591620822597,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9553801533578822,0.2686811616112585,-0.1185802940579286,0.03158971076521094,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9554021663795175,0.26865761110111874,-0.11847164599645296,0.03153185008298496,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9554391595166266,0.2686052233218113,-0.11831933854637282,0.031428976953613755,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9554768412557615,0.26854711741006254,-0.11817046550292777,0.031339952735761734,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9554950319500164,0.2685316885172881,-0.11807412304290811,0.031280627368062856,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9555075538430127,0.2685199957674706,-0.11801812046332938,0.031209768731645635,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9555320400529069,0.2684569633076932,-0.11797358669114591,0.03117069340211275,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.95554765496614,0.26842231944246076,-0.11793152049442561,0.031149542335531924,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9555616759517359,0.26841037181662697,-0.11785310940696435,0.031119131682613484,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9555919566133095,0.2683449021240116,-0.11775748387532252,0.031115927615202904,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
0.9556167554082686,0.26828937535266456,-0.11770283921606763,0.031039805030428063,0.0,0.0,0.0,-0.0001329555456627585,4.359635170212202e-05,-6.674273787348767e-06
